Hora,Presión
13:18:56,103.0
13:18:57,103.0
13:18:58,103.0
13:18:59,103.0
13:19:00,103.0
13:19:01,103.0
13:19:02,103.0
13:19:03,103.0
13:19:04,103.0
13:19:05,103.0
13:19:06,103.0
13:19:07,103.0
13:19:08,103.0
13:19:10,103.0
13:19:11,103.0
13:19:12,103.0
13:19:13,103.0
13:19:14,103.0
13:19:15,103.0
13:19:16,103.0
13:19:17,103.0
13:19:18,103.0
13:19:19,103.0
13:19:20,103.0
13:19:21,103.0
13:19:22,103.0
13:19:23,103.0
13:19:24,103.0
13:19:25,103.0
13:19:26,103.0
13:19:27,103.0
13:19:28,103.0
13:19:29,103.0
13:19:30,103.0
13:19:31,103.0
13:19:32,103.0
13:19:33,103.0